10.15,0.417
10.15,0.068
10.15,0.028
10.15,0.014
9.97,0.557
9.97,0.145
9.97,0.103
9.97,0.005
17.8,0.214
17.8,0.024
17.8,0.035
17.8,0.023
17.88,0.148
17.88,0.024
17.88,0.02
17.88,0.003
17.95,0.062
17.95,0.026
17.95,0.019
17.95,0.003
18.02,0.089
18.02,0.003
18.02,0.021
18.02,0.002
18.09,0.281
18.09,0.002
18.09,0.022
18.09,0
18.16,0.094
18.16,0.01
18.16,0.006
18.16,0.002
18.22,0.112
18.22,0.015
18.22,0.005
18.22,0.001
18.28,0.074
18.28,0.002
18.28,0.01
18.28,0.003
18.34,0.119
18.34,0.012
18.34,0.005
18.34,0.003
18.39,0.093
18.39,0.019
18.39,0.01
18.39,0.001
18.44,0.209
18.44,0.013
18.44,0.004
18.44,0.001
18.49,0.331
18.49,0.046
18.49,0.012
18.49,0.001
18.53,0.062
18.53,0.035
18.53,0.014
18.53,0.006
18.57,0.116
18.57,0.007
18.57,0.025
18.57,0.003
18.61,0.069
18.61,0.027
18.61,0.008
18.61,0.001
18.64,0.027
18.64,0.023
18.64,0.014
18.64,0.001
18.68,0.105
18.68,0.018
18.68,0.018
18.68,0.001
18.7,0.034
18.7,0.009
18.7,0.028
18.7,0
18.73,0.016
18.73,0.01
18.73,0.026
18.73,0.001
18.75,0.08
18.75,0.007
18.75,0.009
18.75,0.004
18.77,0.17
18.77,0.026
18.77,0.014
18.77,0.008
18.78,0.173
18.78,0.019
18.78,0.005
18.78,0.006
18.79,0.032
18.79,0.003
18.79,0.003
18.79,0.004
18.8,0.311
18.8,0.014
18.8,0.007
18.8,0.004
18.81,0.09
18.81,0.005
18.81,0.031
18.81,0.005
18.81,0.03
18.81,0.015
18.81,0.007
18.81,0.002
18.81,0.291
18.81,0.017
18.81,0.016
18.81,0.005
18.81,0.046
18.81,0.005
18.81,0.014
18.81,0.004
18.8,0.04
18.8,0.004
18.8,0.004
18.8,0.009
18.79,0.087
18.79,0.009
18.79,0.028
18.79,0.004
18.78,0.08
18.78,0.013
18.78,0.049
18.78,0.005
18.76,0.024
18.76,0.002
18.76,0.018
18.76,0.001
18.75,0.108
18.75,0.016
18.75,0.008
18.75,0.003
18.72,0.275
18.72,0.023
18.72,0.004
18.72,0.006
18.7,0.22
18.7,0.01
18.7,0.011
18.7,0.006
18.67,0.096
18.67,0.036
18.67,0.024
18.67,0.003
18.64,0.361
18.64,0.009
18.64,0.029
18.64,0.004
18.61,0.433
18.61,0.021
18.61,0.008
18.61,0.005
18.57,0.023
18.57,0.029
18.57,0.017
18.57,0.002
18.53,0.233
18.53,0.007
18.53,0.017
18.53,0.009
18.49,0.21
18.49,0.023
18.49,0.016
18.49,0.001
18.44,0.128
18.44,0.013
18.44,0.015
18.44,0.002
18.39,0.401
18.39,0.019
18.39,0.016
18.39,0.004
18.34,0.079
18.34,0.021
18.34,0.028
18.34,0.001
18.29,0.277
18.29,0.009
18.29,0.015
18.29,0.008
18.23,0.35
18.23,0.005
18.23,0.013
18.23,0.012
18.17,0.512
18.17,0.025
18.17,0.017
18.17,0.003
18.11,0.073
18.11,0.014
18.11,0.019
18.11,0.003
18.04,0.31
18.04,0.023
18.04,0.011
18.04,0.002
17.97,0.373
17.97,0.02
17.97,0.017
17.97,0.001
17.9,0.241
17.9,0.01
17.9,0.021
17.9,0.001
17.83,0.211
17.83,0.032
17.83,0.015
17.83,0.001
17.75,0.214
17.75,0.059
17.75,0.007
17.75,0.004
17.67,0.112
17.67,0.019
17.67,0.034
17.67,0.007
17.59,0.7
17.59,0.018
17.59,0.05
17.59,0.003
17.5,0.269
17.5,0.023
17.5,0.025
17.5,0.012
17.42,0.136
17.42,0.044
17.42,0.016
17.42,0.009
17.32,0.298
17.32,0.005
17.32,0.007
17.32,0.008
17.23,0.351
17.23,0.017
17.23,0.014
17.23,0.005
17.14,0.081
17.14,0.023
17.14,0.006
17.14,0.002
17.04,0.205
17.04,0.009
17.04,0.044
17.04,0
16.94,0.119
16.94,0.009
16.94,0.01
16.94,0.002
16.83,0.079
16.83,0.007
16.83,0.01
16.83,0.006
16.73,0.104
16.73,0.04
16.73,0.03
16.73,0.005
16.62,0.044
16.62,0.018
16.62,0.048
16.62,0.001
16.51,0.015
16.51,0.031
16.51,0.013
16.51,0.002
16.39,0.202
16.39,0.009
16.39,0.009
16.39,0
16.28,0.057
16.28,0.035
16.28,0.01
16.28,0.008
16.16,0.215
16.16,0.013
16.16,0.008
16.16,0.004
16.04,0.176
16.04,0.035
16.04,0.027
16.04,0.007
15.91,0.16
15.91,0.035
15.91,0.086
15.91,0.001
15.8,0.229
15.8,0.019
15.8,0.015
15.8,0.003
15.67,0.079
15.67,0.028
15.67,0.043
15.67,0.008
15.54,0.209
15.54,0.033
15.54,0.103
15.54,0.013
15.41,0.11
15.41,0.038
15.41,0.076
15.41,0.004
15.28,0.257
15.28,0.073
15.28,0.069
15.28,0.007
15.14,0.605
15.14,0.017
15.14,0.101
15.14,0.011
15,0.082
15,0.065
15,0.052
15,0.006
14.87,0.566
14.87,0.026
14.87,0.102
14.87,0.002
14.73,0.544
14.73,0.033
14.73,0.091
14.73,0.003
14.58,0.736
14.58,0.034
14.58,0.018
14.58,0.003
14.44,0.51
14.44,0.09
14.44,0.026
14.44,0.002
14.29,0.527
14.29,0.007
14.29,0.048
14.29,0.011
14.14,0.501
14.14,0.008
14.14,0.011
14.14,0.004
13.99,0.145
13.99,0.031
13.99,0.052
13.99,0.005
13.84,0.899
13.84,0.007
13.84,0.037
13.84,0.002
13.69,0.409
13.69,0.037
13.69,0.013
13.69,0
13.53,0.274
13.53,0.012
13.53,0.057
13.53,0.002
13.37,0.216
13.37,0.043
13.37,0.111
13.37,0.001
13.22,0.328
13.22,0.005
13.22,0.022
13.22,0.003
13.05,0.301
13.05,0.017
13.05,0.067
13.05,0.002
12.89,0.652
12.89,0.026
12.89,0.044
12.89,0.006
12.73,0.508
12.73,0.018
12.73,0.012
12.73,0.001
12.56,0.537
12.56,0.002
12.56,0.059
12.56,0.006
12.4,0.202
12.4,0.025
12.4,0.026
12.4,0.011
12.23,1.153
12.23,0.016
12.23,0.004
12.23,0.002
12.06,0.818
12.06,0.032
12.06,0.031
12.06,0.013
11.89,0.353
11.89,0.006
11.89,0.069
11.89,0.005
11.72,0.8
11.72,0.012
11.72,0.054
11.72,0.002
11.54,0.527
11.54,0.016
11.54,0.011
11.54,0.005
11.37,1.063
11.37,0.046
11.37,0.082
11.37,0.009
11.19,0.421
11.19,0.062
11.19,0.076
11.19,0.014
11.01,0.998
11.01,0.058
11.01,0.061
11.01,0.022
10.84,0.836
10.84,0.011
10.84,0.104
10.84,0.007
10.65,0.263
10.65,0.106
10.65,0.067
10.65,0.007
10.47,0.589
10.47,0.109
10.47,0.095
10.47,0.011
10.29,0.441
10.29,0.132
10.29,0.203
10.29,0.121
10.11,0.488
10.11,0.131
10.11,0.114
10.11,0.014
9.92,0.26
9.92,0.017
9.92,0.161
9.92,0.005
9.74,0.966
9.74,0.088
9.74,0.081
9.74,0.01
9.55,0.278
9.55,0.265
9.55,0.046
9.55,0.027
9.36,1.399
9.36,0.124
9.36,0.38
9.36,0.501
9.18,0.838
9.18,0.256
9.18,0.347
9.18,0.025
8.99,0.465
8.99,0.058
8.99,0.201
8.99,0.008
22.26,0.26
22.26,0.031
22.26,0.021
22.26,0.01
22.56,0.121
22.56,0.019
22.56,0.015
22.56,0.002
22.86,0.076
22.86,0.044
22.86,0.008
22.86,0.001
23.16,0.081
23.16,0.038
23.16,0.016
23.16,0.004
23.46,0.072
23.46,0.029
23.46,0.028
23.46,0.002
23.76,0.172
23.76,0.005
23.76,0.025
23.76,0.003
24.06,0.178
24.06,0.024
24.06,0.034
24.06,0.002
24.36,0.055
24.36,0.039
24.36,0.014
24.36,0.001
24.65,0.031
24.65,0.036
24.65,0.015
24.65,0.001
24.95,0.141
24.95,0.024
24.95,0.01
24.95,0.003
25.25,0.239
25.25,0.001
25.25,0.009
25.25,0.004
25.54,0.252
25.54,0.019
25.54,0.026
25.54,0.004
25.84,0.019
25.84,0.027
25.84,0.014
25.84,0.002
26.13,0.242
26.13,0.02
26.13,0.015
26.13,0.001
26.42,0.294
26.42,0.012
26.42,0.009
26.42,0
26.72,0.255
26.72,0.009
26.72,0.011
26.72,0
27.01,0.038
27.01,0.013
27.01,0.012
27.01,0.001
27.3,0.218
27.3,0.023
27.3,0.009
27.3,0.001
27.58,0.265
27.58,0.004
27.58,0.011
27.58,0.001
27.87,0.201
27.87,0.015
27.87,0.006
27.87,0
28.16,0.019
28.16,0.027
28.16,0.005
28.16,0.001
28.44,0.075
28.44,0.021
28.44,0.006
28.44,0.003
28.73,0.112
28.73,0.007
28.73,0.009
28.73,0.002
29.01,0.132
29.01,0.002
29.01,0.01
29.01,0.002
29.29,0.144
29.29,0.013
29.29,0.006
29.29,0.001
29.57,0.036
29.57,0.026
29.57,0.027
29.57,0.001
29.85,0.108
29.85,0.038
29.85,0.021
29.85,0.002
30.13,0.113
30.13,0.021
30.13,0.006
30.13,0.001
30.4,0.041
30.4,0.016
30.4,0.012
30.4,0.001
30.68,0.051
30.68,0.04
30.68,0.02
30.68,0.003
30.96,0.094
30.96,0.041
30.96,0.009
30.96,0.003
31.23,0.053
31.23,0.023
31.23,0.008
31.23,0.003
31.5,0.192
31.5,0.005
31.5,0.012
31.5,0.001
31.77,0.167
31.77,0.031
31.77,0.014
31.77,0
32.03,0.072
32.03,0.045
32.03,0.008
32.03,0.001
32.3,0.064
32.3,0.047
